City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
471,Bandarbeyla,SO,79.05,overcast clouds,9.4942,50.8122,JABIR HOTEL
474,Solwezi,ZM,70.41,few clouds,-12.1688,26.3894,Country Lodge Solwezi
475,Estelle,US,80.01,broken clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
476,Pahrump,US,73.06,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
480,Nawa,IN,69.22,clear sky,27.0167,75.0,"Sambharia Bhawan,Kuchaman Road,Nawa City"
482,Razole,IN,75.9,overcast clouds,16.4833,81.8333,Sterling Palavelli Godavari
488,Sungairaya,ID,77.41,overcast clouds,0.7,108.9,Mess P.Milu
489,Yei,SS,68.88,overcast clouds,4.095,30.6779,City Link Hotel
495,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
496,Inongo,CD,71.94,broken clouds,-1.95,18.2667,Hotel Du Lac
498,Antalaha,MG,74.1,broken clouds,-14.9003,50.2788,Hotel Vitasoa
499,Araouane,ML,74.98,overcast clouds,18.9048,-3.5265,
500,Manono,CD,78.4,overcast clouds,-7.3,27.4167,Hotel hewa bora
502,Sabinas Hidalgo,MX,83.43,clear sky,26.5,-100.1667,Hotel Real Santiago De Las Sabinas
505,Ridgecrest,US,74.64,clear sky,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
506,Vaitape,PF,79.34,broken clouds,-16.5167,-151.75,Conrad Bora Bora Nui
507,Longview,US,68.99,clear sky,32.5007,-94.7405,Homewood Suites by Hilton Longview
509,Kalmunai,LK,78.89,overcast clouds,7.4167,81.8167,VS Villa
510,Galle,LK,79.48,broken clouds,6.0367,80.217,Amangalla
519,Idah,NG,77.67,light rain,7.1065,6.7342,Ubiga Hotel Idah
520,Hobyo,SO,80.28,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
521,Kavali,IN,77.25,light rain,14.9167,79.9833,Hotel Mourya Paradise
524,Ballina,AU,77.18,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
526,Ler,SS,76.39,overcast clouds,8.3018,30.1418,
528,Ugoofaaru,MV,82.08,clear sky,5.6667,73.0,Ungoofaaru Inn
529,Kyaikkami,MM,79.74,overcast clouds,16.08,97.5675,St. joseph catholic church
530,Grand-Santi,GF,83.05,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
531,Kingman,US,68.88,clear sky,35.1894,-114.053,Rodeway Inn Kingman Route 66
532,Axim,GH,79.81,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
535,Bogo,PH,79.21,overcast clouds,11.0517,124.0055,Acrige Apartelle 2 pax Twin @ heart of Bogo City
536,Anloga,GH,84.42,scattered clouds,5.7947,0.8973,Pin Drop Hotel
537,Chanika,TZ,68.68,scattered clouds,-5.4167,38.0167,New Rombo Green Hotel
